down_by_fg,time1,time2,prob_of_winning,num games
vec,0,15,9.677419355,62
vec,15,30,28.88888889,90
vec,30,45,34.24657534,73
vec,45,60,45.07042254,71
vec,60,75,44.23076923,52
vec,75,90,47.27272727,55
vec,90,105,45.61403509,57
vec,105,120,50,62
vec,120,135,43.29896907,97
vec,135,150,45,40
vec,150,165,60.52631579,38
vec,165,180,51.1627907,43
vec,180,195,65.625,32
vec,195,210,53.125,32
vec,210,225,52.17391304,23
vec,225,240,54.28571429,35
vec,240,255,53.33333333,30
vec,255,270,42.30769231,26
vec,270,285,52.94117647,34
vec,285,300,46.66666667,45
vec,300,315,47.82608696,23
vec,315,330,56.25,32
vec,330,345,34.375,32
vec,345,360,45.45454545,22
vec,360,375,57.69230769,26
vec,375,390,45.16129032,31
vec,390,405,56.75675676,37
vec,405,420,52,25
vec,420,435,45,20
vec,435,450,48.48484848,33
vec,450,465,45.71428571,35
vec,465,480,55.17241379,29
vec,480,495,44.44444444,36
vec,495,510,48.57142857,35
vec,510,525,57.14285714,42
vec,525,540,55.88235294,34
vec,540,555,40.47619048,42
vec,555,570,63.15789474,38
vec,570,585,59.25925926,27
vec,585,600,46.15384615,39
vec,600,615,61.76470588,34
vec,615,630,45.45454545,33
vec,630,645,56.75675676,37
vec,645,660,50,30
vec,660,675,50,30
vec,675,690,45.71428571,35
vec,690,705,43.33333333,30
vec,705,720,62.16216216,37
vec,720,735,52.94117647,34
vec,735,750,48.57142857,35
vec,750,765,61.53846154,26
vec,765,780,51.85185185,27
vec,780,795,56,25
vec,795,810,39.28571429,28
vec,810,825,32,25
vec,825,840,57.14285714,21
vec,840,855,55.17241379,29
vec,855,870,53.65853659,41
vec,870,885,35.71428571,14
vec,885,900,46.66666667,30
vec,900,915,43.75,80
