game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2001_15_BUF_ATL,20,ATL 3,(1:30) 10-A.Van Pelt pass to 80-E.Moulds pushed ob at ATL 34 for 21 yards (37-D.Vaughn).,90,55,0:48,1,10,1,3736,Touchdown
2001_15_DAL_ARI,24,ARI 42,(:22) 17-Q.Carter pass incomplete. Carter spiked ball.,22,59,0:00,1,10,0,4085,End of half
2001_15_SEA_NYG,26,SEA 7,(2:00) (Shotgun) 5-K.Collins pass to 84-J.Jurevicius to SEA 39 for 18 yards (31-M.Robertson).,120,57,0:20,1,10,1,3719,Touchdown
2001_16_KC_JAX,28,KC 13,(:41) (Shotgun) 8-M.Brunell pass to 87-K.McCardell pushed ob at KC 27 for 32 yards (21-J.Woods).,41,59,0:00,1,10,0,4114,End of half
2001_16_OAK_DEN,22,DEN 17,(1:22) 12-R.Gannon pass to 25-C.Garner to 50 for 14 yards (24-D.O'Neal).,82,64,0:00,1,10,0,3819,Turnover
2001_17_PHI_TB,24,50,(:50) 10-S.King pass to 80-T.Yoder to TB 43 for 6 yards (58-I.Reese).,50,63,0:00,1,10,0,3436,End of half
2001_20_PHI_STL,22,PHI 35,(:03) 5-D.McNabb pass to 22-D.Staley to PHI 42 for 7 yards. Lateral to 80-J.Thrash to PHI 44 for 2 yards (32-D.Bly).,3,65,0:00,1,10,0,3639,End of half
2001_21_STL_NE,22,NE 26,"(1:51) (Shotgun) 13-K.Warner pass to 81-A.Hakim pushed ob at NE 37 for 18 yards (36-L.Milloy). Pass 3, Run 15",111,55,1:30,1,10,1,3685,Touchdown
2002_02_MIA_IND,20,MIA 6,(1:59) (Shotgun) 18-P.Manning pass to 83-Q.Ismail to IND 41 for 6 yards (21-J.Fletcher).,119,65,0:00,1,10,0,3832,End of half
2002_04_NE_SD,20,NE 45,(:45) 12-T.Brady pass incomplete to 86-D.Patten. Play Challenged by Replay Official and REVERSED. 12-T.Brady pass to 86-D.Patten to SD 45 for 15 yards (37-R.Harrison).,45,60,0:08,1,10,0,3695,Turnover
2002_05_BAL_CLE,25,BAL 17,(:57) (Shotgun) 10-K.Holcomb pass incomplete to 83-M.Campbell (21-C.McAlister).,57,57,0:00,1,10,0,4071,Turnover
2002_05_CIN_IND,24,IND 35,(:53) (Shotgun) 3-J.Kitna pass to 28-C.Dillon to IND 47 for 10 yards (50-D.Thornton).,53,57,0:23,1,10,0,3770,Turnover
2002_05_KC_NYJ,20,NYJ 39,(:08) 10-C.Pennington pass incomplete to 87-L.Coles (42-S.Harts).,8,61,0:00,1,10,0,3770,End of half
2002_07_JAX_BAL,25,BAL 25,(1:34) (Shotgun) 8-M.Brunell pass to 81-B.Shaw to BAL 41 for 19 yards (20-E.Reed).,94,60,0:00,1,10,0,3914,Turnover
2002_07_SF_NO,18,NO 39,(:43) 5-J.Garcia pass incomplete to 20-G.Hearst (91-G.Jackson).,43,64,0:00,1,10,0,3896,End of half
2002_08_IND_WAS,22,IND 37,"(:11) (Shotgun) 18-P.Manning pass to 86-T.Walters to IND 45 for 8 yards. FUMBLES, touched at IND 47, RECOVERED by WAS-98-J.Armstead at IND 47. Walters attemped lateral.",11,63,0:03,1,10,0,3813,Turnover
2002_10_NE_CHI,28,CHI 20,(1:50) 12-T.Brady pass to 86-D.Patten to CHI 37 for 19 yards (26-T.McMillon).,110,56,0:21,1,10,1,4550,Touchdown
2002_12_MIN_NE,24,MIN 44,(:35) (Shotgun) 11-D.Culpepper pass incomplete to 85-D.Bates.,35,56,0:11,1,10,0,4200,Turnover on downs
2002_13_NYJ_OAK,21,LV 46,(:37) 10-C.Pennington pass incomplete.,37,62,0:00,1,10,0,3718,Turnover
2002_13_SEA_SF,25,SF 43,(1:55) 8-M.Hasselbeck pass incomplete to 88-J.Williams.,115,57,1:23,1,10,0,4271,Turnover
2002_15_KC_DEN,23,DEN 30,(1:50) 10-T.Green pass to 88-T.Gonzalez to DEN 36 for 25 yards (56-A.Wilson).,110,61,0:00,1,10,0,3933,End of half
2002_15_SEA_ATL,23,SEA 12,(1:26) 7-M.Vick  pass incomplete. Spikes Ball,86,58,0:17,1,10,1,3741,Touchdown
2002_16_CLE_BAL,17,BAL 1,(1:41) (Shotgun) 2-T.Couch pass incomplete to 81-Q.Morgan (38-J.Trapp).,101,55,0:29,1,10,1,3402,Touchdown
2002_17_CAR_NO,27,CAR 40,"(1:02) (Shotgun) 2-A.Brooks pass to 87-J.Horn to CAR 40 for 20 yards (29-D.Wesley). Pass 20, Run 0",62,60,0:35,1,10,0,3693,Turnover
2002_17_MIN_DET,21,MIN 20,(1:03) (Shotgun) 8-M.McMahon pass incomplete to 18-E.Drummond.,63,61,0:13,1,10,1,4014,Touchdown
2002_18_NYG_SF,24,NYG 13,(2:00) 5-J.Garcia pass incomplete to 89-T.Streets.,120,57,1:00,1,10,1,4014,Touchdown
