game_id,drive,drive_end_yard_line,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2001_06_TEN_DET,25,TEN 36,120,49,1:18,1,10,1,4166,Touchdown
2001_07_BUF_SD,22,LAC 26,54,50,0:07,1,10,0,3941,Missed field goal
2001_08_CLE_CHI,23,CLE 9,94,53,0:28,1,10,1,4130,Touchdown
2001_08_CLE_CHI,24,CLE 34,24,47,0:00,1,10,1,4268,Touchdown
2001_08_IND_BUF,27,IND 38,35,45,0:00,1,10,0,4200,End of half
2001_08_KC_SD,24,KC 41,30,47,0:00,1,10,0,3918,End of half
2001_08_NYJ_NO,25,NYJ 20,111,54,0:48,1,10,0,3615,Turnover on downs
2001_08_NYJ_NO,25,NYJ 20,101,49,0:48,1,10,0,3615,Turnover on downs
2001_08_TB_GB,27,TB 49,24,50,0:00,1,10,0,3806,End of half
2001_09_BAL_TEN,26,BAL 1,89,52,0:00,1,10,0,4182,Turnover on downs
2001_09_DAL_ATL,20,ATL 46,17,46,0:08,1,10,0,3310,Turnover
2001_09_MIA_IND,28,IND 37,95,52,0:26,1,10,0,3788,Turnover on downs
2001_09_OAK_SEA,21,SEA 47,36,47,0:00,1,10,0,3852,End of half
2001_10_ATL_GB,24,ATL 45,83,45,1:08,1,10,0,3765,Turnover
2001_10_CHI_TB,30,CHI 31,11,54,0:00,1,10,0,4045,Missed field goal
2001_10_CLE_BAL,25,CLE 43,26,49,0:00,1,10,0,3903,Turnover on downs
2001_10_DET_ARI,26,50,11,50,0:00,1,10,0,4474,End of half
2001_10_JAX_PIT,25,PIT 45,34,45,0:31,1,10,0,3816,Turnover
2001_10_SF_CAR,26,CAR 7,87,52,0:01,1,10,1,4144,Touchdown
2001_10_TEN_CIN,25,TEN 13,61,52,0:00,1,10,0,4002,Turnover on downs
2001_11_BAL_JAX,24,JAX 3,62,49,0:09,1,10,1,4127,Touchdown
2001_12_ARI_OAK,24,50,92,50,1:18,1,10,1,3833,Touchdown
2001_12_ARI_OAK,25,ARI 2,47,46,0:12,1,10,1,4095,Touchdown
2001_12_CAR_NO,25,CAR 47,33,47,0:00,1,10,0,4009,Turnover
2001_12_IND_BAL,33,BAL 17,70,54,0:00,1,10,0,4213,End of half
2001_12_TB_CIN,19,TB 6,120,51,0:08,1,10,1,3943,Touchdown
2001_13_NYJ_PIT,17,PIT 12,114,49,0:50,1,10,0,3521,Turnover on downs
2001_14_ARI_NYG,23,50,18,55,0:00,1,10,0,3911,End of half
2001_14_ATL_IND,25,IND 48,100,48,1:26,1,10,0,3982,Turnover
2001_15_BUF_ATL,20,ATL 3,90,55,0:48,1,10,1,3736,Touchdown
2001_15_STL_CAR,25,LA 29,111,55,0:27,1,10,1,3912,Field goal
2001_15_TEN_OAK,22,TEN 24,55,48,0:06,1,10,0,3871,Missed field goal
2001_16_BUF_NYJ,20,BUF 17,47,50,0:00,1,10,0,3840,End of half
2001_16_OAK_DEN,22,DEN 17,63,50,0:00,1,10,0,3819,Turnover
2001_17_NYJ_OAK,24,LV 35,86,49,0:59,1,10,1,3554,Field goal
2001_18_NYJ_OAK,19,LV 1,58,54,0:00,1,10,0,3609,End of half
2001_21_STL_NE,22,NE 26,111,55,1:30,1,10,1,3685,Touchdown
2002_01_KC_CLE,23,CLE 12,5,53,0:00,1,10,1,3861,Field goal
2002_02_ARI_SEA,23,ARI 26,12,45,0:00,1,10,0,4079,End of half
2002_02_BUF_MIN,23,MIN 36,15,52,0:00,1,10,1,4303,Field goal
2002_02_CHI_ATL,24,CHI 28,120,54,0:56,1,10,0,3658,Missed field goal
2002_02_CIN_CLE,21,CIN 37,100,53,0:09,1,10,0,4030,Turnover
2002_02_MIA_IND,20,MIA 6,82,52,0:00,1,10,0,3832,End of half
2002_02_TEN_DAL,22,DAL 42,108,50,0:58,1,10,0,3816,Turnover on downs
2002_03_GB_DET,25,DET 48,112,52,1:37,1,10,1,3942,Touchdown
2002_03_GB_DET,27,GB 34,59,48,0:30,1,10,0,4290,Turnover
2002_03_SD_ARI,23,ARI 38,35,54,0:00,1,10,0,3802,End of half
2002_04_NE_SD,20,NE 45,33,45,0:08,1,10,0,3695,Turnover
2002_04_NYG_ARI,22,NYG 48,87,52,1:11,1,10,0,3880,Turnover on downs
2002_05_CIN_IND,24,IND 35,48,47,0:23,1,10,0,3770,Turnover
2002_05_KC_NYJ,19,NYJ 19,89,48,0:27,1,10,1,3665,Touchdown
2002_05_NE_MIA,21,MIA 19,45,48,0:03,1,10,0,3547,Turnover on downs
2002_05_TB_ATL,23,TB 36,20,51,0:00,1,10,0,3584,Turnover
2002_06_CLE_TB,24,TB 31,55,48,0:00,1,10,0,3794,End of half
2002_06_KC_SD,26,KC 47,10,53,0:00,1,10,0,3854,Turnover
2002_07_CHI_DET,23,CHI 6,112,51,0:02,1,10,1,4020,Field goal
2002_07_SF_NO,18,NO 39,29,52,0:00,1,10,0,3896,End of half
2002_08_ATL_NO,22,NO 29,66,53,0:00,1,10,1,4139,Field goal
2002_08_CLE_NYJ,22,CLE 26,93,50,0:16,1,10,0,3837,Missed field goal
2002_08_HOU_JAX,27,JAX 48,57,45,0:00,1,10,0,3876,Turnover on downs
2002_08_OAK_KC,19,KC 9,71,54,0:00,1,10,0,3779,End of half
2002_09_PHI_CHI,23,PHI 33,120,48,0:11,1,10,0,4549,Turnover on downs
2002_10_ATL_PIT,25,PIT 11,115,50,0:42,1,10,1,4191,Touchdown
2002_10_HOU_TEN,24,HOU 40,112,54,1:11,1,10,0,3393,Turnover
2002_10_KC_SF,16,SF 37,110,49,1:07,1,10,0,3435,Turnover on downs
2002_10_MIA_NYJ,20,NYJ 47,113,45,0:56,1,10,0,3528,Turnover on downs
2002_10_NO_CAR,27,CAR 7,109,53,0:31,1,10,1,4145,Touchdown
2002_10_SD_STL,22,LA 30,65,46,0:11,1,10,0,3810,Turnover
2002_11_CLE_CIN,22,50,18,50,0:00,1,10,0,3900,End of half
2002_12_DET_CHI,24,DET 4,116,47,0:00,1,10,1,4389,Field goal
